8.1002	7.8120	-0.9850	4.0038	1.6513	1.4565	1.5643
26.0222	0.2409	-0.6439	3.9955	1.6901	1.4296	6.3532
7.6769	-8.4323	-0.5281	4.0402	1.6626	1.5167	4.5965
4.2262	7.1148	-1.0342	3.9257	1.7132	1.5326	1.5967
-2.6394	6.3351	-0.8846	3.8493	1.6274	1.5386	1.5315
12.2482	7.3164	-0.6785	4.6239	1.8216	2.0343	1.5921
25.5611	16.1580	-0.2994	3.6733	1.5490	1.5086	6.2753
47.3123	10.1442	-0.1700	0.4935	0.7230	1.9776	6.2889
-5.2138	6.6207	-0.7632	3.9151	1.6182	1.4480	1.4546
59.9879	7.6194	-0.1962	4.7049	1.7098	1.5699	4.6668
13.8070	19.0649	-0.3288	0.5324	0.5107	1.7650	3.1224
2.5014	19.2399	-0.7035	0.3882	0.5919	1.9083	5.3698
0.9445	19.1165	-0.5483	0.7235	0.5094	1.8590	4.7311
6.9258	11.3920	-1.1491	3.9246	1.6091	1.3548	2.6225
4.2964	14.5333	-0.7457	0.8665	0.3952	1.8902	4.8764
2.9004	19.8857	-0.6880	0.3531	0.4923	1.8251	4.8116
-0.0166	11.5043	-0.8093	0.3955	0.4894	1.7862	5.0327
