4.0954	8.7948	-0.9918	4.0279	1.6139	1.3815	1.5278
37.6614	5.8179	-0.7984	4.2987	1.7241	1.4802	1.6632
53.9340	2.8788	-0.7617	4.3555	1.7250	1.4976	3.0932
17.8069	-5.9245	-0.6583	1.8462	0.5260	1.8037	4.6320
1.8528	6.2566	-0.8844	0.5724	0.5099	1.4539	0.9143
-1.3957	-17.2362	-0.5113	3.7795	1.6734	1.5701	4.6721
-3.7629	7.9568	-0.9663	0.9447	0.4785	1.9292	1.4937
16.6403	8.1107	-0.8626	1.7731	0.5773	1.6925	1.3979
12.6682	-3.8650	-0.9743	0.4395	0.4270	1.3039	2.8469
19.0065	-3.3165	-0.7296	0.4377	0.5219	1.6952	1.2830
34.1747	4.5861	-0.8647	3.8882	1.6242	1.4738	6.8084
