5.1255	2.9343	-1.0171	3.1969	1.4598	1.5242	3.1093
0.1501	2.8748	-1.0343	4.2263	1.6337	1.4704	3.1513
53.0895	2.9048	-0.2234	3.8227	1.5746	1.5479	4.6448
19.4208	11.0746	-0.5909	0.9195	0.6028	1.9033	4.4726
37.4209	12.7650	-1.0875	3.8279	1.5492	1.4826	3.1044
36.4174	2.9056	-0.6010	0.8000	0.5293	1.5884	6.8463
26.5187	8.8838	-0.6682	3.3826	1.5144	1.5010	3.6414
4.2274	4.5651	-0.8783	0.8206	0.4766	1.7812	4.0504
38.3752	22.1804	-0.9457	3.9616	1.6220	1.5029	4.1440
19.8747	10.2633	-0.5812	0.5991	0.6411	1.8343	6.8125
38.2432	2.5630	-0.6485	3.5366	1.5582	1.4510	6.4913
